Person_ID,AssessmentID,Case_ID,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,AssessmentReason,LegalStatus,MaritalStatus,DisplayText,DecileScore,ScoreText
50844,57167,51950,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50848,57174,51956,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50855,57181,51963,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
50850,57176,51958,PRETRIAL,Female,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,6,Medium
50839,57162,51945,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50852,57179,51961,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,10,High
50840,57163,51946,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50853,57178,51960,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50847,57170,51953,PRETRIAL,Male,Other,Intake,Pretrial,Married,Risk of Recidivism,2,Low
50842,57165,51948,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50843,57166,51949,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50854,57180,51962,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50849,57175,51957,PRETRIAL,Female,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50841,57164,51947,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50851,57177,51959,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50856,57182,51964,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50862,57190,51972,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50873,57203,51984,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50880,57213,51993,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,7,Medium
46600,57214,47026,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,10,High
50858,57185,51967,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50864,57192,51974,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50865,57193,51975,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50871,57200,51981,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50860,57187,51969,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50861,57189,51971,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,8,High
50879,57210,51991,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50866,57194,51976,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
46280,57212,46670,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50876,57207,51988,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50859,57186,51968,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50863,57191,51973,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50857,57183,51965,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
43080,57188,51970,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50874,57204,51985,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50886,57223,52002,PRETRIAL,Male,Other,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50907,57253,52026,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,3,Low
50887,57225,52004,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50892,57232,52011,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,9,High
18293,57246,35116,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50913,57260,52032,PRETRIAL,Male,African-American,Intake,Pretrial,Divorced,Risk of Recidivism,6,Medium
50882,57218,51997,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50890,57230,52009,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50902,57248,52021,PRETRIAL,Female,Hispanic,Intake,Pretrial,Divorced,Risk of Recidivism,1,Low
50903,57249,52022,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50889,57228,52007,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50884,57220,51999,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50909,57254,52027,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50881,57215,51994,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50893,57233,52012,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,3,Low
19327,57217,51996,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,3,Low
38240,57224,52003,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50891,57231,52010,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50900,57245,52019,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
48511,57240,49208,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50888,57226,52005,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50885,57222,52001,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,1,Low
9825,57221,52000,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
29747,57227,52006,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,3,Low
38682,57234,38137,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,9,High
50897,57242,52016,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
19348,57229,52008,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
